Entrez Gene	ID	C_adj.P.Val	C_P.Value	C_t	C_B	C_logFC	B_adj.P.Val	B_P.Value	B_t	B_B	B_logFC
	A1BG	0.0788	0.0312	-2.174732	-4.28798	-0.1662415	0.0893	0.0354	-2.1362607	-4.4425	-0.20987992
29974	A1CF	0.00703	0.00146	-3.243419	-1.56838	-0.4765023	1.87e-07	3.21e-09	-6.5768762	10.81092	-1.09968841
54715	RBFOX1	0.798	0.705	-0.379092	-6.51649	-0.0192011	0.624	0.485	-0.7006719	-6.4117	-0.05004141
87769	GGACT	0.933	0.897	-0.130149	-6.57908	-0.0195485	0.769	0.659	-0.4423894	-6.55798	-0.08214286
	A2M	0.991	0.986	0.017733	-6.58729	0.0030017	0.0806	0.0311	-2.1908362	-4.331	-0.50422878
144568	A2ML1	0.00725	0.00151	-3.231693	-1.60339	-0.4597372	0.758	0.644	-0.4638189	-6.54834	-0.0787971
127550	A3GALT2	0.372	0.239	1.181027	-5.90169	0.0610184	0.61	0.469	0.7268126	-6.39325	0.04231263
53947	A4GALT	0.525	0.386	-0.868839	-6.21551	-0.1523736	0.0845	0.033	2.1662619	-4.38152	0.48395652
51146	A4GNT	0.519	0.381	0.879193	-6.20662	0.1585903	0.037	0.0114	-2.5835086	-3.45592	-0.42815631
8086	AAAS	0.0197	0.00535	-2.826256	-2.74512	-0.1850874	0.308	0.182	-1.3466397	-5.76242	-0.12252381
65985	AACS	0.503	0.365	0.908812	-6.1806	0.0715635	0.112	0.0472	-2.0125355	-4.68583	-0.19592029
13	AADAC	0.794	0.7	0.386533	-6.51368	0.1160395	0.0283	0.00815	-2.7066038	-3.15604	-0.98470186
57552	NCEH1	0.000127	9.65e-06	4.581266	3.10348	0.6767277	0.0236	0.00646	2.7895123	-2.94743	0.55692029
344752	AADACL2	0.308	0.185	-1.331436	-5.717	-0.0886505	0.279	0.158	-1.4229073	-5.65961	-0.11602381
